Period,EMR Capital Expenditures (Quarterly),EMR Gross Profit Margin (Quarterly),EMR Operating Margin (TTM),EMR Price,EMR Revenue (Quarterly)
2015-01-16 00:00:00,,,,60.35,
2015-01-15 00:00:00,,,,59.38,
2015-01-14 00:00:00,,,,59.62,
2015-01-13 00:00:00,,,,60.08,
2015-01-12 00:00:00,,,,60.17,
2015-01-09 00:00:00,,,,60.9,
2015-01-08 00:00:00,,,,61.87,
2015-01-07 00:00:00,,,,60.29,
2015-01-06 00:00:00,,,,60.42,
2015-01-05 00:00:00,,,,60.52,
2015-01-02 00:00:00,,,,61.79,
2014-12-31 00:00:00,207.0,40.809,18.9453,61.73,5587.0
2014-12-30 00:00:00,,,,62.37,
2014-12-29 00:00:00,,,,62.61,
2014-12-26 00:00:00,,,,62.78,
2014-12-24 00:00:00,,,,62.73,
2014-12-23 00:00:00,,,,62.83,
2014-12-22 00:00:00,,,,62.6,
2014-12-19 00:00:00,,,,62.33,
2014-12-18 00:00:00,,,,62.0,
2014-12-17 00:00:00,,,,59.74,
2014-12-16 00:00:00,,,,59.21,
2014-12-15 00:00:00,,,,58.15,
2014-12-12 00:00:00,,,,58.43,
2014-12-11 00:00:00,,,,61.32,
2014-12-10 00:00:00,,,,61.45,
2014-12-09 00:00:00,,,,63.63,
2014-12-08 00:00:00,,,,63.61,
2014-12-05 00:00:00,,,,64.88,
2014-12-04 00:00:00,,,,64.56,
2014-12-03 00:00:00,,,,64.48,
2014-12-02 00:00:00,,,,63.54,
2014-12-01 00:00:00,,,,62.81,
2014-11-28 00:00:00,,,,63.75,
2014-11-26 00:00:00,,,,65.38,
2014-11-25 00:00:00,,,,65.7,
2014-11-24 00:00:00,,,,65.77,
2014-11-21 00:00:00,,,,65.59,
2014-11-20 00:00:00,,,,64.21,
2014-11-19 00:00:00,,,,64.15,
2014-11-18 00:00:00,,,,64.04,
2014-11-17 00:00:00,,,,63.74,
2014-11-14 00:00:00,,,,63.62,
2014-11-13 00:00:00,,,,63.52,
2014-11-12 00:00:00,,,,64.05,
2014-11-11 00:00:00,,,,64.56,
2014-11-10 00:00:00,,,,65.11,
2014-11-07 00:00:00,,,,64.86,
2014-11-06 00:00:00,,,,64.67,
2014-11-05 00:00:00,,,,64.41,
2014-11-04 00:00:00,,,,64.19,
2014-11-03 00:00:00,,,,64.51,
2014-10-31 00:00:00,,,,64.06,
2014-10-30 00:00:00,,,,63.42,
